,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
486307,486308,486308,1,비교,귀엽다 ㅎㅎ 뭐 _ 아오꺼랑 비교 기사도 있는데 기계치라 보 ㅏ,긍정,100,0.077840909090909,0.65844155844156
486308,486309,486309,1,비교,몇 가지 비교 테스트를 추가로 해보고 싶고 각,중립,100,0,0
486309,486310,486310,1,비교,실제 비교 화면입니다,중립,100,0,0
486310,486311,486311,1,비교,# 라인프렌즈스피커 # 네이버인공지능스피커 #wave 비교,중립,100,0,0
486311,486312,486312,1,비교,3 페이지저품질 저렴한 싼곳 가위 비교 전문 광교 상대적으로 두드러기 우리는,긍정,100,0.040700878022832,0.93384547516686
486312,486313,486313,1,비교,까지 리뷰 한 후에 두개 비교 포스팅도 할 예정,중립,100,0,0
486313,486314,486314,1,비교,하드웨어 스펙과 네이버 웨이브 스펙 비교 ( 인공지능 스피커 ) 1,중립,100,0,0
486314,486315,486315,1,비교,아래의 비교 표에서 알 수 있듯이 에코,중립,100,0,0
486315,486316,486316,1,비교,▲ 누구와 누구 미니 크기 비교 ▲ 후면 블루투스 페어링 버튼,중립,100,0,0
486317,486318,486318,1,비교,실제로 유튜브에서 다른 ai 스피커와의 비교 영상을 많이 봤는데 기능면에서는 네이버가,중립,100,0,0
486318,486319,486319,1,비교,원래는 비슷한 크기인 카카오미니와 성능 비교 테스트를 진행하려 했지만 카카오미니가 현재까지,중립,100,0,0
486319,486320,486320,1,비교,체급상 비교 대상은 카카오미니가 맞지만 측정이 안,긍정,100,0.073584264572637,0.75110797901496
486320,486321,486321,1,비교,mini 비교 도 했으니,중립,100,0,0
486321,486322,486322,1,비교,되는기능이지만 SK 누구는 되는지 몰라서 비교 못함,중립,100,0,0
486322,486323,486323,1,비교,체구 자체다 달라서 비교 하기가 뭐하지만,중립,100,0,0
486323,486324,486324,1,비교,AI 스피커 비교 기사를,중립,100,0,0
486324,486325,486325,1,비교,인공지능 스피커 비교 ① SKT 의,중립,100,0,0
486325,486326,486326,1,비교,그리고 회사 사람들의 기기까지 빌려 비교 테스트도 해보았습니다,중립,100,0,0
486326,486327,486327,1,비교,자세한 비교 사용 느낌들은 사용기를 한번 더,중립,100,0,0
486327,486328,486328,1,비교,여러 온라인몰을 비교,중립,100,0,0
486328,486329,486329,1,비교,SK 누구 미니 셋탑박스 가격 비교 LG 인터넷 가입 신청 현금,중립,100,0,0
486329,486330,486330,1,비교,LG 인터넷 가입 신청 현금 비교 최대지급 통신사 요금제,긍정,100,0.057086771546043,1.1080269507746
486330,486331,486331,1,비교,또한 비교 제품군과는 다르게 카카오 스피커가 배터리가,중립,100,0,0
486331,486332,486332,1,비교,비교,NA,NA,NA,NA
486332,486333,486333,1,비교,비교 ( feat,NA,NA,NA,NA
486333,486334,486334,1,비교,임시 건대 저렴한 이런 표절 비교 들지도 강남 맛집 각주 신형,중립,100,0,0
486334,486335,486335,1,비교,바다 무좀 확인 비교 뛰어넘을 요리 종로 시선이 통해,중립,100,0,0
486335,486336,486336,1,비교,상태를 하드웨어 음성인식으로 될 국내의 비교 나아지고 나아가 스피커를 기술을 소리,중립,100,0,0
486336,486337,486337,1,비교,비교 테스트해보았다,중립,100,0,0
486337,486338,486338,1,비교,예정이었다가 2018 년으로 출시가 연기돼 비교 자체가 무의미하다,중립,100,0,0
486338,486339,486339,1,비교,반복 테스트 및 타사 제품과 비교 테스트를 해봐야 알겠습니다만 며칠 동안,긍정,100,0.13351560944102,1.0612369382607
486339,486340,486340,1,비교,추후 아마존 에코와 구글 홈과 비교 테스트를 해보겠습니다,중립,100,0,0
486340,486341,486341,1,비교,' 누구 ' 를 득템했기에 비교 대조하면서 나름의 리뷰를 해봤는데,중립,100,0,0
486341,486342,486342,1,비교,두고 사용하고 있는 브라운과의 크기 비교,중립,100,0,0
486342,486343,486343,1,비교,프렌즈스토어에서 직접 클로바 프렌즈와 웨이브를 비교 시연하고 들어보며 그 놀라운 음향에,중립,100,0,0
486343,486344,486344,1,비교,때 ( 많은 평가들과 기자들의 비교 분석도 참조함 ) 자체 충전,긍정,100,0.040694652558628,0.8223311409709
486344,486345,486345,1,비교,음질이 좋은 다른 스피커나 오디오에는전혀 비교 대상이 아닌 제품일 지도 모른다,부정,66.355140186916,-0.025291036310202,-0.29276292346652
486345,486346,486346,1,비교,스피커에 관심이 많아지면서 리뷰도 많고 비교 영상도 많이 있더라고요,긍정,100,0.19968952616011,1.2515484515485
486346,486347,486347,1,예판,9 월 18 일 첫 예판 부터 많은 인기를 끌었다,긍정,100,0.18434930387476,1.048863108097
486347,486348,486348,1,예판,프렌즈 피규어 1 종의 매력과 예판 기간 중 50 % 에,긍정,100,0.072624381680015,0.69530080379075
486348,486349,486349,1,예판,이유 중 하나가 네이버 웨이브 예판 조건과 직접적으로 비교되었기 때문인 부분도,중립,100,0,0
486349,486350,486350,1,예판,프렌즈 피규어 1 종을 제공하면서 예판 서버가 다운될 만큼 인기를 끌기도,긍정,100,0.061049472938258,0.94014084507042
486350,486351,486351,1,예판,음성인식 AI 카카오 미니 예판 한다고 하네요,중립,100,0,0
486351,486352,486352,1,예판,적용해서 활용 범위를 높인게 보이네요 예판 구매자에 한해서 제공해주는 카카오프랜즈피규어,긍정,100,0.034044512852847,0.90519460851128
486352,486353,486353,1,예판,두기 보다는 카카오프랜즈라는 강력한지원군에 힘입어 예판 마감이 될거 같습니다,긍정,100,0.09582651767827,1.5018528884908
