,Unnamed: 0,brand,category,words,emotion,sim
0,0,0,4,음성인식 ,999,1.0
1,2145,0,0,박스 ,999,1.0
2,883,0,8,라디오 ,999,1.0
3,2113,0,0,조명 ,999,1.0
4,3903,0,7,답변 ,999,1.0
5,3872,0,7,기사 ,999,1.0
6,315,0,4,명령 ,999,1.0
7,2935,0,1,환율 ,999,1.0
8,2904,0,1,프리미엄 ,999,1.0
9,2903,0,1,저렴 ,999,1.0
10,3841,0,7,경기 ,999,1.0
11,852,0,8,등등 ,999,1.0
12,3810,0,7,추천 ,999,1.0
13,2144,0,0,무드등 ,999,1.0
14,2902,0,1,저렴한 ,999,1.0
15,3748,0,7,운세 ,999,1.0
16,1,0,4,누구 ,999,1.0
17,2871,0,1,얼마 ,999,1.0
18,3779,0,7,음식 ,999,1.0
19,2176,0,0,새롭 ,999,1.0
20,2177,0,0,귀엽 ,999,1.0
21,2178,0,0,누르 ,999,1.0
22,2179,0,0,라이언 ,999,1.0
23,2870,0,1,만원 ,999,1.0
24,537,0,8,기능 ,999,1.0
25,821,0,8,동화 ,999,1.0
26,189,0,4,말하 ,999,1.0
27,190,0,4,명령어 ,999,1.0
28,158,0,4,이름 ,999,1.0
29,157,0,4,부르 ,999,1.0
30,2082,0,0,버튼 ,999,1.0
31,3934,0,7,맞추 ,999,1.0
32,1831,0,5,택시 ,999,1.0
33,1862,0,5,팟캐스트 ,999,1.0
34,474,0,4,목소리 ,999,1.0
35,4059,0,2,사운드 ,999,1.0
36,126,0,4,대화 ,999,1.0
37,1893,0,5,휴대폰 ,999,1.0
38,2997,0,6,음악 ,999,1.0
39,1924,0,5,무선 ,999,1.0
40,1955,0,5,설정할 ,999,1.0
41,1956,0,5,식자재마트 ,999,1.0
42,1957,0,5,아이폰 ,999,1.0
43,945,0,8,유용 ,999,1.0
44,1988,0,5,연결하 ,999,1.0
45,1989,0,5,컨트롤 ,999,1.0
46,630,0,8,서비스 ,999,1.0
47,4028,0,2,음질 ,999,1.0
48,2020,0,5,티비 ,999,1.0
49,2051,0,0,디자인 ,999,1.0
50,3997,0,2,소리 ,999,1.0
51,3966,0,7,정확 ,999,1.0
52,2966,0,6,노래 ,999,1.0
53,505,0,4,알아듣 ,999,1.0
54,506,0,4,클로버 ,999,1.0
55,914,0,8,업그레이드 ,999,1.0
56,3935,0,7,오전 ,999,1.0
57,3375,0,7,알람 ,999,1.0
58,2839,0,1,개월 ,999,1.0
59,977,0,8,조절 ,999,1.0
60,2715,0,1,구매 ,999,1.0
61,3561,0,7,콘텐츠 ,999,1.0
62,2430,0,0,어울리 ,999,1.0
63,2431,0,0,어피치 ,999,1.0
64,2432,0,0,예쁘 ,999,1.0
65,2433,0,0,인테리어 ,999,1.0
66,724,0,8,필요 ,999,1.0
67,2464,0,0,카카오프렌즈 ,999,1.0
68,3530,0,7,일정 ,999,1.0
69,2465,0,0,캐릭터 ,999,1.0
70,2496,0,0,프렌즈 ,999,1.0
71,253,0,4,대답 ,999,1.0
72,284,0,4,마이크 ,999,1.0
73,2684,0,1,가격 ,999,1.0
74,3717,0,7,영화 ,999,1.0
75,2527,0,0,깔끔 ,999,1.0
76,693,0,8,이용 ,999,1.0
77,2528,0,0,도라에몽 ,999,1.0
78,3437,0,7,정보 ,999,1.0
79,2653,0,0,화이트 ,999,1.0
80,2559,0,0,무드 ,999,1.0
81,2652,0,0,은은한 ,999,1.0
82,2590,0,0,분위기 ,999,1.0
83,662,0,8,이야기 ,999,1.0
84,661,0,8,가능하다 ,999,1.0
85,2621,0,0,수유 ,999,1.0
86,3499,0,7,검색 ,999,1.0
87,2399,0,0,어디 ,999,1.0
88,3592,0,7,구글 ,999,1.0
89,599,0,8,가지 ,999,1.0
90,2746,0,1,무료 ,999,1.0
91,2210,0,0,보이 ,999,1.0
92,2241,0,0,피규어 ,999,1.0
93,3686,0,7,실시간 ,999,1.0
94,2242,0,0,깔끔한 ,999,1.0
95,2243,0,0,라인 ,999,1.0
96,3655,0,7,설명 ,999,1.0
97,2274,0,0,모습 ,999,1.0
98,2305,0,0,본체 ,999,1.0
99,2808,0,1,할인 ,999,1.0
100,568,0,8,가능 ,999,1.0
101,790,0,8,도움 ,999,1.0
102,789,0,8,기능들이 ,999,1.0
103,788,0,8,기능들 ,999,1.0
104,787,0,8,간편 ,999,1.0
105,2336,0,0,불빛 ,999,1.0
106,3624,0,7,미세먼지 ,999,1.0
107,3623,0,7,궁금한 ,999,1.0
108,221,0,4,씽큐 ,999,1.0
109,222,0,4,아리아 ,999,1.0
110,3406,0,7,영어 ,999,1.0
111,756,0,8,각종 ,999,1.0
112,755,0,8,가능한 ,999,1.0
113,2367,0,0,브라운 ,999,1.0
114,2777,0,1,판매 ,999,1.0
115,2398,0,0,심플한 ,999,1.0
116,976,0,8,제공하 ,999,1.0
117,3468,0,7,제공 ,999,1.0
118,4090,0,2,들리 ,999,1.0
119,4247,0,3,케이블 ,999,1.0
120,1388,0,5,공기청정기 ,999,1.0
121,1389,0,5,연동해 ,999,1.0
122,1390,0,5,디바이스 ,999,1.0
123,1421,0,5,리모컨 ,999,1.0
124,1452,0,5,메시지 ,999,1.0
125,3153,0,6,음원 ,999,1.0
126,1102,0,8,편리 ,999,1.0
127,1101,0,8,탑재한 ,999,1.0
128,1483,0,5,배달 ,999,1.0
129,3152,0,6,신나 ,999,1.0
130,408,0,4,클로바 ,999,1.0
131,409,0,4,클로바가 ,999,1.0
132,3282,0,7,오늘 ,999,1.0
133,1514,0,5,보내 ,999,1.0
134,4091,0,2,볼륨 ,999,1.0
135,410,0,4,클로바를 ,999,1.0
136,411,0,4,헤이 ,999,1.0
137,1546,0,5,쇼핑 ,999,1.0
138,64,0,4,지니 ,999,1.0
139,1070,0,8,탑재 ,999,1.0
140,1577,0,5,스마트홈 ,999,1.0
141,1578,0,5,애플 ,999,1.0
142,346,0,4,아리 ,999,1.0
143,1609,0,5,어플 ,999,1.0
144,3184,0,6,재생 ,999,1.0
145,3251,0,7,시간 ,999,1.0
146,3121,0,6,스트리밍 ,999,1.0
147,1139,0,5,연결 ,999,1.0
148,1201,0,5,블루투스 ,999,1.0
149,1232,0,5,연동 ,999,1.0
150,377,0,4,질문 ,999,1.0
151,1263,0,5,통하 ,999,1.0
152,1264,0,5,설정 ,999,1.0
153,1170,0,5,스마트폰 ,999,1.0
154,1295,0,5,영상 ,999,1.0
155,1326,0,5,와이파이 ,999,1.0
156,3219,0,7,날씨 ,999,1.0
157,3218,0,7,알리 ,999,1.0
158,3217,0,6,네이버뮤직 ,999,1.0
159,3216,0,6,틀어달라고 ,999,1.0
160,33,0,4,인공지능 ,999,1.0
161,3215,0,6,지니뮤직 ,999,1.0
162,4278,0,3,충전기 ,999,1.0
163,1138,0,8,탑재되 ,999,1.0
164,1137,0,8,이용해서 ,999,1.0
165,1136,0,8,놀랍 ,999,1.0
166,1135,0,8,노래방기 ,999,1.0
167,1134,0,8,편하 ,999,1.0
168,1133,0,8,편리한 ,999,1.0
169,1357,0,5,핸드폰 ,999,1.0
170,3250,0,7,데이트 ,999,1.0
171,32,0,4,기가지니 ,999,1.0
172,1610,0,5,에어컨 ,999,1.0
173,1515,0,5,셋톱박스 ,999,1.0
174,4216,0,3,충전 ,999,1.0
175,4153,0,2,최대 ,999,1.0
176,4184,0,2,하만카돈 ,999,1.0
177,4185,0,3,배터리 ,999,1.0
178,1676,0,5,인터넷 ,999,1.0
179,4122,0,2,오디오 ,999,1.0
180,1707,0,5,주문 ,999,1.0
181,442,0,4,헤이카카오 ,999,1.0
182,1008,0,8,지원 ,999,1.0
183,95,0,4,기술 ,999,1.0
184,1738,0,5,채널 ,999,1.0
185,1644,0,5,연결해서 ,999,1.0
186,1769,0,5,카카오톡 ,999,1.0
187,443,0,4,호출 ,999,1.0
188,1643,0,5,연결해 ,999,1.0
189,3059,0,6,이용권 ,999,1.0
190,1642,0,5,연결할 ,999,1.0
191,1641,0,5,연결하면 ,999,1.0
192,1039,0,8,타이머 ,999,1.0
193,1800,0,5,카톡 ,999,1.0
