,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
39783,39784,39784,지역,지역,지금있는 지역의 날씨를 말해주기도하고타지역을 호명하며 말하면 그 지역 날씨도 말해줘요,중립,100,0,0
39784,39785,39785,지역,지역,영상 보시면 알 수 있겠지만 오늘 날짜라던지어느 지역 혹은 다른 나라의 현재 날씨 시간은 물론멜론과,긍정,100,0.081558981139604,1.7353398886756
39785,39786,39786,지역,지역,지역,NA,NA,NA,NA
39786,39787,39787,지역,지역,우산을 준비하니까 편하고 좋더라고요 ^ ^ 다른 지역 날씨도 물어보면 다 알려줘요,긍정,100,0.34135294732321,1.2482614845803
40620,40621,40621,금융,금융,기능 길안내 음식 주문 장보기 번역 어학 금융 사물인터넷 등 다양한 기능과 편의기능도 단계적으로 추후,중립,100,0,0
40621,40622,40622,금융,금융,안내와 음식 주문 / 장보기 번역 어학 금융 사물인터넷 등 다양한 기능을 단계적으로 추가할 계획이라고,중립,100,0,0
40622,40623,40623,금융,금융,미니는 카카오 택시 호출 음식 주문 장보기부터 금융 IoT 까지 이용할 수 있도록 서비스 영역이,중립,100,0,0
40623,40624,40624,금융,금융,카카오미니는 자동으로 업데이트되며택시 호출 음식 주문 장보기부터 금융 사물인터넷 ( IOT ) 까지 이용가능 카카오는,긍정,100,0.058765875014315,1.1220721820472
40624,40625,40625,금융,금융,안내와 음식 주문 / 장보기 번역 어학 금융 사물인터넷 등 다양한 기능을 단계적으로 추가할 계획이다,중립,100,0,0
40625,40626,40626,금융,금융,이를 통해 택시 호출 음식 주문 장보기부터 금융 사물인터넷 ( IoT ) 까지 이용카카오는 다양한,중립,100,0,0
40626,40627,40627,금융,금융,생긴 기분이겠어요 ^ ^ 게다가 택시호출 배탈음식주문 금융 키즈 스마트홈까지,중립,100,0,0
40627,40628,40628,금융,금융,앞으로 금융 사물인터넷 등의 기능도 추가해 사용범위를 확장하고 일상에서,긍정,100,0.11273282303627,1.5939948970293
40628,40629,40629,금융,금융,이를 통해 택시 호출 음식 주문 장보기부터 금융 IT 까지 이용할 수 있는 서비스 영역이,중립,100,0,0
40629,40630,40630,금융,금융,이를 통해 택시 호출 음식 주문 장보기부터 금융 IOT 까지 이용할 수 있는 서비스영역이 늘어나게,중립,100,0,0
40630,40631,40631,금융,금융,카카오미니를 통해 택시 호출 음식 주문 장보기 금융 사물 인터넷 ( IoT ) 까지 이용할,중립,100,0,0
40631,40632,40632,금융,금융,택시 호출 음식 주문 장보기부터 금융 IoT 까지 서비스 영역이 지속적으로 업데이트 되고,중립,100,0,0
40632,40633,40633,금융,금융,여기에 금융 loT 까지 이용할 수 있도록 해준다고 합니다,중립,100,0,0
40633,40634,40634,금융,금융,누구의 사용법은음악 영상 금융 라디오팟캐스트 쇼핑 날씨 뉴스 등모든 분야를 음성으로,중립,100,0,0
40634,40635,40635,금융,금융,금융 - 국민은행 ( 금융상품추천 환율조회 지점정보 조회,중립,100,0,0
40635,40636,40636,금융,금융,그 외에도 오디오북이나 금융 운세 로또 쇼핑 배달 알람 일정 검색,중립,100,0,0
40636,40637,40637,금융,금융,또한 택시 호출이나 음식 주문은 물론이고 금융 키즈와 같은 일상에서 심쿵한 기능들도 여럿 있기,긍정,100,0.077587504757009,1.3574747711434
40637,40638,40638,금융,금융,지점 대기 고객 수확인 등 엔터테인먼트뿐만 아니라 금융 정보 기능이 추가되었다,부정,100,-0.052026207951577,-0.65703405017921
40638,40639,40639,금융,금융,ㅋㅋ 계속해서 택시 호출 음식 주문부터 금융 키즈 스마트홈 영역까지,중립,100,0,0
40639,40640,40640,금융,금융,연결을 통해 수많은 기능으로카카오택시 음식 주문 장보기부터 금융 IoT 까지 이용할 수 있는 서비스 영역이,중립,100,0,0
40640,40641,40641,금융,금융,택시 호출 음식 주문 장보기부터 금융 iot 까지 이용할 수 있는 서비스 영역이,중립,100,0,0
40641,40642,40642,금융,금융,될 것으로 예상되어지는데 앞으로 음식 주문에서 붜 금융 키즈 스마트홈 영역까지 앞으로 그 영역을 확장,긍정,100,0.10052666227781,1.8740399385561
40642,40643,40643,금융,금융,성적을 보여준건카카오 뱅크가 특별히 사용자 친화적이었다거나 특별히 금융 상품이 좋았기 때문이라기보다는 ' 카카오 ' 라는,중립,100,0,0
40643,40644,40644,금융,금융,참고로 조만간 금융 음식 주문 택시 호출 IoT 와 연계된,중립,100,0,0
40644,40645,40645,금융,금융,또한 카카오미니는택시 호출과 길안내 음식주문장보기 번역 어학 금융 사물인터넷등다양한 기능이 추가될 계획이라합니다,중립,100,0,0
