"","X","category","key","sentences"
"1",1,4,"전자","성과물이 올해 4 월 LG 전자 자체 음성인식 AI 플랫폼을 탑재하고"
"2",2,4,"전자","에어컨 공기청정기 로봇청소기 등 LG 전자 가전 7 종과 스마트 전구"
"3",3,4,"전자","씽큐 허브는 이 같은 LG 전자 스마트 가전 생태계를 모두 아우르는"
"4",4,4,"전자","어시스턴트 ' 가 이미 LG 전자 스마트 가전 연동을 지원합니다"
"5",5,4,"전자","베스언니는 기존에 만들어 사용하던 LG 전자 계정으로 로그인해서 연동에 성공"
"6",6,4,"전자","LG 전자 인공지능 스피커 스마트씽큐 허브는 스마트씽큐"
"7",7,4,"전자","스마트씽큐 앱에 등록된 다양한 LG 전자 가전제품을 음성으로 컨트롤할 수 있는"
"8",8,4,"전자","LG 전자 AI 스피커"
"9",9,4,"전자","LG 전자"
"10",10,4,"전자","LG 전자"
"11",11,4,"전자","LG 전자"
"12",12,4,"전자","LG 전자"
"13",13,4,"전자","LG 전자"
"14",14,4,"전자","하다가 괜히 겁을 먹어서 LG 전자 고객센터에 도움을 요청했는데 순번대기가 좀"
"15",15,4,"전자","ㅎ LG 전자"
"16",16,4,"전자","LG 전자"
"17",17,4,"전자","ㅠㅋ ; LG 전자"
"18",18,4,"전자","이어질 LG 전자 인공지능 ( AI ) 스피커"
"19",19,4,"전자","CES 2016 에서부터 꾸준히 LG 전자 IoT 기기인"
"20",20,4,"전자","포스팅 다시 보기 ▼ LG 전자 IoT 기기"
"21",21,4,"전자","오늘 소개 드린 LG 전자 IoT 가전 어떠셨나요"
"22",22,4,"전자","LG 스마트씽큐는 LG 전자 베스트샵에서 직접 확인하실 수 있습니다"
"23",23,4,"전자","전자 체험존에서는"
"24",24,4,"전자","전자 체험존에서는"
"25",25,4,"전자","전자 체험존에서는"
"26",26,4,"전자","LG 전자"
"27",27,4,"전자","' 클로바 ' 는 LG 전자 가전제품을 제어할 수 있는 '"
"28",28,4,"전자","LG 전자 인공지능 스피커 스마트씽큐 허브 바탕"
"29",29,4,"전자","또한 LG 전자 인공지능 스피커 스마트씽큐 허브는 일정과"
"30",30,4,"전자","오늘은 이렇게 LG 전자 인공지능 스피커 스마트씽큐 허브가 제공하고"
"31",31,4,"전자","반면 심심할 때는 LG 전자 인공지능 AI 스피커와 간단한 대화를"
"32",32,4,"전자","영상을 즐겨 보는 입장에서 LG 전자 인공지능 AI 스피커의 출현은 상당히"
"33",33,4,"전자","타이머 ' 라고 말하면 LG 전자 인공지능 AI 스피커에서 ' 얼마"
"34",34,4,"전자","기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식 인공지능 플랫폼을 계속"
"35",35,4,"전자","LG 전자 H & A 사업본부장 송대현"
"36",36,4,"전자","기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식 인공지능 플랫폼을 계속"
"37",37,4,"전자","LG 전자 H & A 사업본부장 송대현"
"38",38,4,"전자","기반 AI 플랫폼 확대 LG 전자 생활가전이 음성인식 인공지능 플랫폼을 계속"
"39",39,4,"전자","LG 전자 H & A 사업본부장 송대현"
"40",40,4,"전자","ㅎㅎ LG 전자 인공지능 스피커로우리 집은 스마트홈"
"41",41,4,"전자","아마존과 구글의 인공지능 플랫폼에서도 LG 전자 제품을 제어할 수 있도록 연동했다"
"42",42,4,"전자","LG 전자 ' 씽큐 허브 ' 인공지능"
"43",43,4,"전자","지난 4 월 LG 전자 자체 인공지능 플랫폼을 탑재해 선보인"
"44",44,4,"전자","공기청정기 로봇청소기 오븐 등 LG 전자 가전 7 종입니다"
"45",45,4,"전자","LG 전자 베스트샵 베스트맨입니다"
"46",46,4,"전자","LG 스마트씽큐 허브는 가까운 LG 전자 베스트샵에서 직접 체험과 함께 만나보실"
"47",47,4,"전자","LG 스마트씽큐 허브는기존 LG 전자 가전제품들을 활용해서스마트홈을 구현할 수 있는"
"48",48,4,"전자","LG 전자 인공지능 스피커"
"49",49,4,"전자","; ; 그리고 이번 LG 전자 스마트 씽큐 허브 2"
"50",50,4,"전자","허브는 집안에 있는 모든 LG 전자 가전과 연동이 가능한데요"
"51",51,4,"전자","[ 사진 = LG 전자 제공 ]"
"52",52,4,"전자","전자가 주도하는 스마트홈 시장 LG 전자 ' 딥씽큐 ( Deep ThinQ"
"53",53,4,"전자","가전 2 사 : LG 전자 / 삼성전자 와이솔 : 프랑스"
"54",54,4,"전자","IFA 2017 LG 전자 부스 내에는 홈 IoT 존을"
"55",55,4,"전자","LG 전자"
"56",56,4,"전자","LG 전자"
"57",57,4,"전자","LG 전자"
"58",58,4,"전자","LG 전자"
"59",59,4,"전자","요즘은 LG 전자 인공지능 ( AI ) 스피커인스마트씽큐"
"60",60,4,"전자","LG 전자 인공지능 스피커"
"61",61,4,"전자","음악을 켜 놓으면음성인식을 못하는데 LG 전자 인공지능 스피커는음악을 켜 놓은 상태에서도음성명령이"
"62",62,4,"전자","IoT 스마트씽큐 허브를 소개합니다 LG 전자"
"63",63,4,"전자","LG 전자 가전제품을 등록하여 그야말로 세상 편리한"
"64",64,4,"전자","공기청정기 로봇청소기 오븐 등 LG 전자 가전 7 종 및"
"65",65,4,"전자","LG 전자"
"66",66,4,"전자","LG 전자"
"67",67,4,"전자","LG 전자 G7 ThinQ : AI 카메라"
"68",68,4,"전자","LG 전자 · 네이버"
"69",69,4,"전자","LG 전자"
"70",70,4,"전자","공기청정기 로봇청소기 오븐 등 LG 전자 가전 7 종과 스마트 전구"
"71",71,4,"전자","LG 전자"
"72",72,4,"전자","▲ LG 전자 모델들이 ' IFA 2017 '"
"73",73,4,"전자","사진제공 : LG 전자"
"74",74,4,"전자","▲ LG 전자 모델들이 ' IFA 2017 '"
"75",75,4,"전자","사진제공 : LG 전자"
"76",76,4,"전자","LG 전자 제공 ' 하이 LG 에어컨"
"77",77,4,"전자","LG 전자 일지전자의 LG ThinQ 허브로"
"78",78,4,"전자","/ 창문 센서 ◇ LG 전자 B2B 기업특판 -"
"79",79,4,"전자","□ LG 전자 B2B 기업특판팀 / 납품팀은 고객의"
"80",80,4,"전자","LG 전자 인공지능 씽큐 체험존 서울 -"
"81",81,4,"전자","또 LG 전자 서초 R & D 캠퍼스"
