,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
80024,80025,80025,7,뮤직,결론부터 이야기 하자면 네이버 뮤직 웹사이트에서 네이버 뮤직 1 년,중립,100,0,0
80025,80026,80026,7,뮤직,하자면 네이버 뮤직 웹사이트에서 네이버 뮤직 1 년 이용권을 얹어 9,중립,100,0,0
80026,80027,80027,7,뮤직,현재 네이버 뮤직 1 년 이용권의 가격은 9,중립,100,0,0
80027,80028,80028,7,뮤직,며칠 전에 네이버 뮤직 1 년 결제하고 무상으로 받은,중립,100,0,0
80028,80029,80029,7,뮤직,들을 도 있고요 음악은 네이버 뮤직 1 년 가입으로 무한 이용,중립,100,0,0
80029,80030,80030,7,뮤직,네이버 뮤직 1 년 정기권을 구입하면 AI,중립,100,0,0
80030,80031,80031,7,뮤직,5 천엔에 판매했고 국내는 네이버 뮤직 1 년 정기권 결재를 매년해야하니,부정,100,-0.022245564892624,-0.61907219027962
80031,80032,80032,7,뮤직,ㅎㅎㅎㅎ 음악 들을려면 ' 네이버 뮤직 ' 이 기반이라고 해서 일단,중립,100,0,0
80032,80033,80033,7,뮤직,스피커 WAVE 출시 기념 네이버 뮤직 단독 이벤트,긍정,100,0.083333333333333,1
80033,80034,80034,7,뮤직,스피커들 네이버 라인 프렌즈 브라운네이버 뮤직 지원네이버의 검색을 음성으로 그대로 쓸수,긍정,100,0.04247990815155,1
80034,80035,80035,7,뮤직,이동 사용이 가능하다 네이버 웨이브네이버 뮤직 지원네이버 검색을 음성으로 그대로 사용할수,긍정,100,0.13740314472128,1.1374092009685
80035,80036,80036,7,뮤직,) 를 내던 것을 해지하고네이버 뮤직 정기 결제권 9 만원에 사면서,중립,100,0,0
80036,80037,80037,7,뮤직,뮤직 1 년 이용권 구매 시,중립,100,0,0
80042,80043,80043,7,뮤직,2 차 이벤트가 ' 네이버 뮤직 1 년 구독권 + 웨이브,중립,100,0,0
80043,80044,80044,7,뮤직,^ 지금 런칭기념 프로모션을진행중인데 네이버 뮤직 1 년 이용권을 구매하면 9,긍정,100,0.0875,1.2083333333333
80044,80045,80045,7,뮤직,정해진 음악만 트는 뮤직 플레이어와 달리 똘똘한 주크박스 역할을,중립,100,0,0
80045,80046,80046,7,뮤직,프렌즈 스피커 출시일에 맞춰 네이버 뮤직 무제한 듣기 1 년 결제시,긍정,100,0.070098039215686,1.1544117647059
80046,80047,80047,7,뮤직,눈여겨 보던 네이버 웨이브를 네이버 뮤직 1 년 이용권 구매를 하면,중립,100,0,0
80047,80048,80048,7,뮤직,샀는데칠번 틀어줘 그러면 가끔 네이버 뮤직 7 위 노래를 틀어준다,중립,100,0,0
80048,80049,80049,7,뮤직,네이버 뮤직 1 년 이용권과 함께 ',중립,100,0,0
80049,80050,80050,7,뮤직,경로 / 교통상황 검색 네이버 뮤직 재생 날씨나 뉴스 알리미 등이,중립,100,0,0
80050,80051,80051,7,뮤직,네이버 뮤직 1 년 구독을 하고사은품으로 받은,중립,100,0,0
80051,80052,80052,7,뮤직,인공지능 스피커라는것과따로 국내에서는 팔지는 않고네이버 뮤직 1 년 구독자를 위한 선물로제공이,중립,100,0.015070088310204,0.14195526695527
80052,80053,80053,7,뮤직,하였습니다스마트폰에 충전하여 사용하시면 됩니다 네이버 뮤직 1 년 구독을 하고 있는네이버,중립,100,0,0
80056,80057,80057,7,뮤직,네이버 웨이브가 뮤직 1 년 무제한듣기권 90000 원,중립,100,0,0
80058,80059,80059,7,뮤직,지금은 차량의 블루투스와 연결하여 네이버 뮤직 감상과 단순 검색하는 용도로만 사용할,중립,100,0,0
80059,80060,80060,7,뮤직,네이버가 서비스 중인 ▲ 네이버 뮤직 ▲ 네이버 블로그 ▲ 파파고,중립,100,0,0
80063,80064,80064,7,뮤직,금액은 부가세 포함 99000 원 뮤직 이용권도 사고 웨이브는 공짜로 받고,긍정,52.459016393443,0.039736967957915,0.19393382352941
80064,80065,80065,7,뮤직,판매되는 웨이브 프렌즈 스피커의 혜택으로는네이버 뮤직 무제한 듣기 1 년 (,중립,100,0,0
80065,80066,80066,7,뮤직,만원 결재하면 스피커를 주고 네이버 뮤직 1 년 무제한 듣기가 가능해서입니다,긍정,100,0.11517054374197,1.3076923076923
80067,80068,80068,7,뮤직,네이버 뮤직 쿠폰이 있는 분들께는 아주 편한,긍정,100,0.14372856215815,1.07977915804
80068,80069,80069,7,뮤직,음성으로 할 수 있고 네이버 뮤직 이용권이 있을경우 곡선택이 자유롭다는것 이정도가,긍정,100,0.11398736005778,1.2332069339112
80069,80070,80070,7,뮤직,네이버 뮤직 쿠폰이 있다면 활용도는 아주 좋아지긴하지만여러모로,중립,100,0,0
80070,80071,80071,7,뮤직,또한 네이버 뮤직 1 년 사용권 구매자에게 ',중립,100,0,0
80072,80073,80073,7,뮤직,스피커 가격이 129000 원인데지금은 네이버 뮤직 스트리밍 6 개월권이랑 결합해서 89900,중립,100,0,0
80073,80074,80074,7,뮤직,nhn 네이버 뮤직 X 프렌즈 스피커 특별 패키지프렌즈,긍정,100,0.091074681238616,1
80076,80077,80077,7,뮤직,가격이 129000 원인데 지금은 네이버 뮤직 스트리밍 6 개월권이랑 결합해서 89900,중립,100,0,0
80078,80079,80079,7,뮤직,com 네이버 뮤직 X 프렌즈 스피커 특별 패키지프렌즈,긍정,100,0.091074681238616,1
80081,80082,80082,7,뮤직,com 네이버 뮤직 X 프렌즈 스피커 특별 패키지,긍정,100,0.10245901639344,1
80082,80083,80083,7,뮤직,가격은 네이버 뮤직 6 개월권과 스피커를 합해도 10,중립,100,0,0
80083,80084,80084,7,뮤직,디자인그리고 9 만원 상당의 네이버 뮤직 1 년 이용권을 증정한다는 점,긍정,100,0.06924280350438,1.1764705882353
80084,80085,80085,7,뮤직,뮤직 탭에서 취향을 저격하는 음악을 들어보세요,중립,100,0,0
80085,80086,80086,7,뮤직,있었고 우연히 그리고 운 좋게네이버 뮤직 1 년 정기권 구매와 함께,긍정,100,0.1712962962963,1
80086,80087,80087,7,뮤직,지정한 노래 이외에도 네이버 뮤직 탑 100 잠 잘 때,중립,100,0,0
80089,80090,80090,7,뮤직,뚜또 : 네이버 뮤직 앱에 있는 재생 목록 틀어줘,중립,100,0,0
80090,80091,80091,7,뮤직,26 일부터 판매시작 - 네이버 뮤직 홈페이지에서 우선 판매되며 9 만,긍정,100,0.086513534843111,1.2247756597418
80156,80157,80157,7,추천,AI 기반으로 되어 있어 음악 추천 재생이나 스피킹 음성으로 다양한 정보,중립,100,0,0
80157,80158,80158,7,추천,자연어 처리 기술과 인공신경망 기계번역과 추천 검색엔진 같은 모듈을 묶어 주로,중립,100,0,0
80158,80159,80159,7,추천,전에 주문했던 제품 기억은 물론 추천 배송도 빠르게 LG 임직원가만큼 저렴한,긍정,100,0.08866677883506,1.5015053341581
80159,80160,80160,7,추천,TOWER Q300S 를 만났어요 공기청정기 추천 하는 위닉스 타워 Q 300S,중립,100,0,0
80160,80161,80161,7,추천,제균 기능을 가진 위닉스 공기청정기 추천 TOWER Q300S 거기다 70 년,중립,100,0,0
80161,80162,80162,7,추천,그래도 우리 집은 위닉스 공기청정기 추천 TOWER Q300S 덕분에 상쾌한 공기질을,긍정,100,0.16765762463343,1.2451759530792
80162,80163,80163,7,추천,자사 서비스를 활용하기 때문에 견고한 추천 로직이 나오는 것이라서 어쩔 수,긍정,100,0.063182794765511,1.0950107424206
80163,80164,80164,7,추천,맛집 찾기 일정 관리 음악 추천 등생활에 필요한 다양한 서비스를 이제,중립,100,0,0
80164,80165,80165,7,추천,인공신경망 기계번역 ( NMT ) 추천 검색엔진 등 다양한 모듈과 엔진이,중립,100,0,0
80165,80166,80166,7,추천,빅데이터 및 기계학습에 기반을 둔 추천 기능주위의 환경을 센서로 인식하는 사물,중립,100,0,0
80166,80167,80167,7,추천,추천 기능도 제공돼 그때그때 날씨나 분위기,중립,100,0,0
80168,80169,80169,7,추천,통해 취향이나 분위기에 따라 음악을 추천 받고 이를 집 안 어디서나,중립,100,0,0
80169,80170,80170,7,추천,기반의 음악 추천 외에 개인별 감상량 및 음원,중립,100,0,0
80170,80171,80171,7,추천,네이버 클로바앱에 검색을 하거나 음악 추천 등 서비스를 이용하실 때 음성인식이,중립,100,0,0
80171,80172,80172,7,추천,또한 기존 검색 추천 데이터 커넥션 담당 조직과 해당,중립,100,0,0
80174,80175,80175,7,추천,카카오는 음원 동영상 뉴스 추천 음성 검색 등 자사 핵심,중립,100,0,0
80177,80178,80178,7,추천,지난해에는 AI 기반 추천 시스템 에어스 ( AIRS ),중립,100,0,0
80178,80179,80179,7,추천,에어스 ( AIRS ) 여행지 추천 알고리즘 코나 ( ConA ),중립,100,0,0
80179,80180,80180,7,추천,( 지식 IN ) 인공지능 추천 서비스 적용 쇼핑 추천 기능,중립,100,0,0
80180,80181,80181,7,추천,인공지능 추천 서비스 적용 쇼핑 추천 기능 등을 선보이며 AI 기술의,중립,100,0,0
80181,80182,80182,7,추천,클로바 ' 는정보 검색 장소 추천 음악 재생 일정 브리핑등의 기능을,중립,100,0,0
80183,80184,80184,7,추천,도우미 ' 를 통해 클로바 추천 명령어를 확인할 수 있어요,중립,100,0,0
80184,80185,80185,7,추천,당신을 이해하는 음악 추천 더욱 다채롭게 구성된 ' 음악,긍정,100,0.11910377358491,1.4191223235107
80185,80186,80186,7,추천,시작되면 아이들을 위한 클로바의 다양한 추천 동요를 들을 수 있습니다,긍정,100,0.20629602874776,2.5091141336314
80186,80187,80187,7,추천,음악 추천 영어 스피킹 정보검색 블루투스 OUT,중립,100,0,0
80238,80239,80239,7,제공,) ' 를 베타 버전으로 제공 중이다,중립,100,0,0
80239,80240,80240,7,제공,1 차 이벤트성 제공 후 첫 판매인데 4000 대,중립,100,0,0
80240,80241,80241,7,제공,정식 판매 때도 멜론 이용권 제공 등 다양한 구매 프로모션을 준비,중립,100,0,0
80241,80242,80242,7,제공,기본 제공 기능에 대화하기 기능이 들어가 있어서,중립,100,0,0
80242,80243,80243,7,제공,제 심정이고요 무료 공짜 서핑은 제공 못해드리지만강습생분들에게 서핑에 본질은 확실하게 가르쳐,긍정,100,0.1151035694583,1.1744186046512
80243,80244,80244,7,제공,카카오 미니는 멜론을 기반으로 음악서비스를 제공,중립,100,0,0
80246,80247,80247,7,제공,때 상용 제품을 쓸 경우 제공 업체가 제시하는 로드맵이 ㅣㅇㅆ 어,중립,100,0,0
80570,80571,80571,7,대답,와 같은 우리나라 AI 스피커만이 대답 가능한 부분을 신경써줬다면 그래도 나쁘지,긍정,50.406504065041,0.057683480189579,0.35844452827375
80571,80572,80572,7,대답,그리고 바로 비트박스부터 시켜봤죠 ㅋ 대답 : 오늘은 컨디션이 별로 좋지,긍정,100,0.1318592840332,1.1867335562988
80572,80573,80573,7,대답,시켜줘 ' ( 당연히 대답,긍정,100,0.13659673659674,0.81585081585082
80573,80574,80574,7,대답,( 대답,NA,NA,NA,NA
81089,81090,81090,7,생각,네이버 웨이브가 써보고 싶으시다면 그 생각 고이 접어두세요,중립,100,0,0
81090,81091,81091,7,생각,흔들리는 것이남편과 다시 상담받을까 싶은 생각 들더라고요 기존에 motion bed 본,중립,100,0,0
81091,81092,81092,7,생각,위 설명에 덧붙이자면당연한건데 저는 전혀 생각 못했던게 ㅋㅋㅋㅋ 앞으로도 네이버 결제를,중립,100,0,0
81092,81093,81093,7,생각,구입할까 생각 중이다,중립,100,0,0
81093,81094,81094,7,생각,일단 사용평점은 처음 그냥 스피커랑 생각 했는데,중립,100,0,0
81094,81095,81095,7,생각,깜찍한 버튼이 코에 있을 거라고는 생각 못했을 겁니다 정말 귀여워요 ㅋ,긍정,100,0.13928288487112,1.2892602495544
81095,81096,81096,7,생각,이후에 장기적인 제품지원은 고려하지 않는다는 생각,중립,100,-0.0025156607613177,0.067534800743756
81096,81097,81097,7,생각,기능 실험과 시범 서비스 목적이라는 생각,중립,100,0,0
81097,81098,81098,7,예약,예약,NA,NA,NA,NA
81098,81099,81099,7,예약,이번 카카오미니의 예약 판매도 네이버 웨이브의 예약판매처럼 메리트가,중립,100,0,0
81099,81100,81100,7,예약,AI 스피커 ' 카카오미니 ' 예약 판매물량 3000 대 배송을 시작했다,긍정,100,0.074155379504217,1.187707641196
81100,81101,81101,7,예약,) 카카오미니는 지난달 18 일 예약 판매 당시 38 분 만에,중립,100,0,0
81101,81102,81102,7,예약,특히 예약 구매자에게는 무제한 듣기가 가능한 ',긍정,100,0.17924379053947,1.1162790697674
81102,81103,81103,7,예약,결재 플랫폼인 메이커스 위드 카카오에서 예약 주문을 받는다고 하고요 인공지능 스피커,중립,100,0,0
81103,81104,81104,7,예약,최근 사전 예약 사태를 겪으며 ' 나도 하나,중립,100,0,0
81104,81105,81105,7,예약,또한 배달 음식 주문 쇼핑 예약 등 기능을 강화하고 디스플레이 기능을,긍정,100,0.10724225345381,1.5899211982483
81105,81106,81106,7,예약,일본에서 예약 시작 5 분 만에 완판되고,긍정,100,0.10585603063821,0.97543399934491
81106,81107,81107,7,예약,35 분 만에 예약 물량이 소진되었습니다,중립,100,0,0
81107,81108,81108,7,예약,분들도 주말에 서핑을 배워보고 싶어서 예약 후 찾아주셨는데요역시 믿음직한 스쿨이라서 먼저,긍정,100,0.17897236946725,1.6536962797763
81108,81109,81109,7,예약,미니 ( KAKAO Mini ) 예약 구매할수 있는 홈페이지 그래서 카카오,중립,100,0,0
81109,81110,81110,7,예약,카카오 미니를 예약 구매하면 카카오 프렌즈 인형을 제공합니다,중립,100,0,0
81110,81111,81111,7,예약,스피커 ' 카카오미니 ' 가 예약 판매 시작 38 분 만에,긍정,100,0.11156214890857,1.3386510374224
81111,81112,81112,7,예약,15 만 원 ) 이지만 예약 구매 가격은 1 만엔 (,중립,100,0,0
81112,81113,81113,7,예약,출시 초기에 카카오택시 예약 기능이나 주문하기 · 장보기 등은,중립,100,0,0
81113,81114,81114,7,예약,조작까지 이루어진다면 클로바 앱을 통한 예약 설정 등도 가능해진다면,긍정,100,0.14574915280544,1.5703947538609
81117,81118,81118,7,예약,특정 노래 예약 30 초 뒤에 버즈의 가시,중립,100,0,0
81118,81119,81119,7,예약,월 18 일 카카오 미니 예약 판매가 시작되었고 여러 언론에서는 완판되었다는,긍정,100,0.078046434587907,1.3046646266208
