,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
278213,278214,278214,6,웨이브,기가 지니랑 티맵 아리 네이버 웨이브 등등탐나는 스피커들이 많았는데 그 중에,긍정,100,0.05409429280397,1.0645161290323
278576,278577,278577,6,주제,채널 콘텐츠 검색은 기본 게스트 주제 장르 년도 무료 키워드는 물론,긍정,100,0.091545210451286,1.4473797347178
278577,278578,278578,6,주제,그 밖에 게스트 주제 장르 년도 등등으로 찾아주는 고도화된,중립,100,0,0
278578,278579,278579,6,주제,게스트 주제 장르 년도 무료 키워드는 물론,긍정,100,0.12258928275433,1.3295514713369
278579,278580,278580,6,주제,2 인까지 ) ● 응모 주제,중립,100,0,0
278580,278581,278581,6,주제,다양한 새로운 미래 기술력에 대한 주제 중 단연 우리 삶에 이미,긍정,100,0.18087975360856,2.0730106230274
280947,280948,280948,6,배달,mini ) 하나로 간편하게 음식을 배달 시킬 수도 있었습니다,중립,100,0,0
280948,280949,280949,6,배달,tv 연동 치킨 및 피자 배달 영화 순위 확인 등 소소한,중립,100,0,0
280949,280950,280950,6,배달,* 그 밖에 치킨을 배달 시킨다던지 가스밸브 전등 등을 켜고,중립,100,0,0
280950,280951,280951,6,배달,' 만약 NUGU 에게 주문 배달 능력이 생긴다면,중립,100,0,0
280951,280952,280952,6,배달,△ 음성으로 하는 인터넷 쇼핑 배달 음식 주문 등 커머스 △,중립,100,0,0
280952,280953,280953,6,배달,통해 스마트홈 아마존 쇼핑 음식 배달 음악 감상 등을 할 수,중립,100,0,0
280954,280955,280955,6,배달,운세 로또 등 생활정보 쇼핑 배달 알람 타이머 브리핑 일정 메모,중립,100,0,0
280955,280956,280956,6,배달,음악 추천 및 자동 재생 배달 음식 주문 등 다양한 정보와,중립,100,0,0
280956,280957,280957,6,배달,은행 서비스 상품 주문 및 배달 사전 기능 일상 대화 교육,중립,100,0,0
280957,280958,280958,6,배달,2 일부터 도미노피자 BBQ 주문 배달 서비스가 오픈돼 누구와 함께 출출한,중립,100,0,0
280958,280959,280959,6,배달,누구 ' 앱을 최신버전으로 업데이트하면 배달 서비스도 가능하다는 사실,긍정,100,0.17660835699065,1.6302915394465
280959,280960,280960,6,배달,치킨 배달 해줘 ' 말만 하면 집,중립,100,0,0
280960,280961,280961,6,배달,일에는 치킨 피자 주문 / 배달 서비스 기능도 오픈했고 16 일부터는,중립,100,0,0
280961,280962,280962,6,배달,구매하는 생필품이 자동으로 결제되고 다음날 배달 온답니다,중립,100,0,0
280964,280965,280965,6,배달,배달,NA,NA,NA,NA
280966,280967,280967,6,배달,네번째는 배달 음식 서비스입니다,중립,100,0,0
280967,280968,280968,6,배달,를 들인 다음에 음성인식으로 직접 배달 서비스를 시작해봐요,긍정,100,0.12630717680028,1.5829184373564
280968,280969,280969,6,배달,제가 위에서 소개했던 뉴스 프리핑과 배달 음식 서비스 등을 엄현경씨가 리얼하게,중립,100,0,0
280969,280970,280970,6,배달,통한 음원서비스와다음을 이용한 인터넷 포털 배달 주문 서비스 등의 이용이 가능하며음성인식기술,중립,100,0,0
280970,280971,280971,6,배달,배달 어플을 켜지 않고도 주문이 가능하단거죠,중립,100,0.093916070547051,0.20157342657343
280973,280974,280974,6,배달,( 화이트 ) NU200 이 배달 되었습니다,중립,100,0,0
280974,280975,280975,6,배달,되었고 도미노 피자와 BBQ 치킨을 배달 주문할 수 있게 되었습니다,중립,100,0,0
280975,280976,280976,6,배달,주문하려면 스마트폰에 설치된 누구 어플리케이션에 배달 주소를 설정해두어야 합니다,중립,100,0,0
280976,280977,280977,6,배달,30 분 기다리면도미노피자가 배달 끄읕,중립,100,0,0
280977,280978,280978,6,배달,배달 결제기능까지추가되고 있습니다,중립,100,0,0
280979,280980,280980,6,배달,( NUGU ) 도 음식 배달 서비스를 시작할 것이라고 합니다,긍정,100,0.13682067591654,1.4038985775696
280980,280981,280981,6,배달,우리나라는 배달 어플이 잘 발달되어 있으므로 앞으로,긍정,100,0.24429016850744,1.8201863296914
280981,280982,280982,6,배달,관련 라디오나 뉴스 등의 미디어주문과 배달 교통 기능 일정과 알람 등의,중립,100,0,0
280982,280983,280983,6,배달,주문배달 - 도미노 BBQ 배달 가능스마트홈 - 스마트홈과 연동시켜 가스밸브,중립,100,0,0
280983,280984,280984,6,배달,시켜 먹는 일이 많은데그럴 때마다 배달 연락처 찾게 되는데 언제 다시,긍정,100,0.12110581946069,0.97377431472612
280984,280985,280985,6,배달,뉴스 라디오 배달 폰찾기 길안내 오디오북 등등 다양하게,중립,100,0,0
280986,280987,280987,6,배달,안내 ▲ 스마트홈 제어 ▲ 배달 주문 등 고객이 원하는 바를,긍정,100,0.10392107367914,1.1605148883375
280987,280988,280988,6,배달,1 만대 판매고를 올리고 있으며 배달 음식주문 등 아마존 에코와 동일한,중립,100,0,0
280988,280989,280989,6,배달,배달 기능도 추가 된다고는 하는데구매했으니 많이,중립,100,0,0
280989,280990,280990,6,배달,SKT 누구는 앞으로는 음식 배달 쇼핑 독서 교육 등 여러,중립,100,0,0
280990,280991,280991,6,배달,처음 나왔을 때보다 팟 캐스트 배달 가능등 다양한 기능이 업그레이드 되었다고,긍정,100,0.12584949796504,1.6920121573987
280991,280992,280992,6,배달,기가지니가 잘 설명해주더라구요 - 특히 배달 피자시켜줘 하니깐 피자집 주르륵 전화연결,중립,100,0,0
280992,280993,280993,6,배달,넷째 음식 배달 기능입니다,중립,100,0,0
280996,280997,280997,6,배달,치킨 피자 배달 요청시 메뉴를 고객이 직접 설정할수,중립,100,0,0
280997,280998,280998,6,배달,11 번가 BTV 교통정보 패스트푸드 배달 등,중립,100,0,0
280998,280999,280999,6,배달,단 배달이 가능한 시간 배달 가능 지역일 때에만 배달이 된다는,긍정,100,0.19595513407476,1.0910929245482
280999,281000,281000,6,배달,배달됩니다,NA,NA,NA,NA
281000,281001,281001,6,배달,피자와 마찬가지로 배달 가능한 시간 배달 가능 지역일 경우에만 배달이 되며,긍정,100,0.22465283835474,1.3469078651254
281001,281002,281002,6,배달,11 번가 Btv 교통정보 피자 배달 치킨 배달 데일리 뉴스 브리핑,중립,100,0,0
281002,281003,281003,6,배달,Btv 교통정보 피자 배달 치킨 배달 데일리 뉴스 브리핑 무드등 등,중립,100,0,0
281003,281004,281004,6,배달,음악감상이나 Btv 치킨 / 피자 배달 등을 많이 사용한다고 합니다,중립,100,0,0
281004,281005,281005,6,배달,스피커인 ' 프렌즈 ' 에서 배달 음식 주문 서비스를 시작했다,긍정,100,0.11971809142697,1.4038985775696
281005,281006,281006,6,배달,치킨 시켜줘 ' 라고 하면 배달 앱인 배달의민족에서 최근 주문한 단골,중립,100,0,0
281006,281007,281007,6,배달,) 가 제공하는 음악 라디오 배달 쇼핑등 다양한 서비스도 제공된다고 합니다,중립,100,0,0
281007,281008,281008,6,배달,날씨 확인 라디오 청취와 음식 배달 등의 기능도 모두 동일하게 이용할,중립,100,0,0
281008,281009,281009,6,배달,들어서 주인도 모르게 비싼 제품이 배달 되었다는,부정,100,-0.14901246409583,-0.88104203623072
281013,281014,281014,6,배달,도미노 피자 시켜줘 하니 집으로 배달 완료,중립,100,0,0
